operation,operand_1,operand_2
DIV,962,999
SUM,959,893
SUM,222,730
DIV,271,407
SUM,722,573
SUB,911,293
MUL,190,567
POW,622,460
SUM,927,499
SUB,767,294
MUL,842,859
DIV,683,711
SUM,525,939
DIV,995,109
POW,443,156
POW,573,270
POW,412,469
SUM,266,552
SUM,525,919
DIV,80,638
DIV,10,747
DIV,209,120
SUB,365,97
SUB,64,907
SUM,802,562
POW,510,334
MUL,540,12
SUB,313,888
DIV,899,790
SUB,652,801
MUL,838,1
POW,86,527
POW,999,556
DIV,580,917
MUL,599,941
DIV,469,632
POW,772,498
POW,991,874
POW,256,609
POW,436,573
POW,833,164
DIV,963,80
POW,105,355
POW,566,638
DIV,976,271
SUM,230,858
MUL,631,756
MUL,306,801
SUM,561,151
DIV,656,656
SUM,537,510
SUB,528,535
DIV,179,428
SUM,702,401
SUB,108,613
SUM,296,903
SUB,522,558
MUL,15,37
SUB,67,272
POW,207,390
POW,861,708
POW,455,262
POW,941,729
POW,175,103
MUL,116,382
SUM,69,373
POW,803,87
MUL,616,474
DIV,911,231
POW,929,897
MUL,264,757
SUB,944,740
SUB,242,433
SUM,146,132
DIV,543,121
SUM,941,787
SUB,801,390
DIV,615,704
POW,511,256
DIV,650,831
POW,606,56
POW,403,327
DIV,586,324
SUB,831,163
DIV,840,812
SUB,453,44
SUM,372,842
POW,60,933
DIV,852,77
DIV,358,822
MUL,722,185
SUM,392,455
SUM,669,277
SUM,204,145
SUM,635,619
DIV,869,607
SUB,267,885
SUB,290,798
POW,480,538
POW,585,835
POW,29,719
DIV,28,809
SUB,40,418
MUL,253,414
POW,634,812
SUM,50,701
SUB,59,687
SUB,383,222
POW,853,404
DIV,941,33
SUB,50,12
SUM,48,306
MUL,857,464
SUB,277,453
MUL,880,177
POW,206,393
MUL,191,432
POW,589,6
MUL,611,812
SUB,902,725
SUM,947,936
SUB,897,888
SUB,991,670
SUB,245,484
POW,800,24
SUM,273,243
SUM,1000,806
POW,160,185
SUB,153,332
POW,125,730
SUM,545,31
SUM,346,910
POW,105,953
MUL,50,566
MUL,114,975
SUB,9,183
POW,85,601
DIV,900,31
DIV,87,763
SUM,221,947
SUB,939,104
DIV,562,108
SUB,766,894
DIV,573,893
MUL,299,733
SUM,589,497
POW,367,862
SUB,374,329
POW,972,946
SUM,900,461
SUM,661,257
SUB,518,102
DIV,33,102
MUL,106,961
SUM,560,912
MUL,509,896
MUL,672,794
SUM,929,431
SUM,72,282
POW,429,692
DIV,986,291
MUL,783,337
POW,831,253
SUB,211,437
DIV,737,418
MUL,751,431
DIV,439,738
DIV,209,520
POW,693,143
SUM,94,398
POW,815,843
SUB,750,397
SUB,817,107
DIV,46,877
POW,893,45
DIV,336,522
SUM,500,644
MUL,140,717
MUL,393,757
SUM,15,757
POW,25,523
POW,370,953
POW,845,999
DIV,409,827
MUL,349,355
MUL,839,140
DIV,84,761
SUM,515,856
POW,231,917
MUL,439,282
DIV,40,394
MUL,248,467
SUB,477,829
SUM,282,645
SUM,45,722
POW,944,60
MUL,533,288
SUB,431,777
SUM,263,736
SUB,8,723
DIV,33,760
POW,938,342
DIV,209,702
POW,389,339
MUL,547,793
POW,576,873
SUB,753,675
MUL,209,317
POW,113,751
DIV,110,398
SUM,930,746
SUB,920,468
SUM,725,811
SUM,528,23
SUM,405,479
MUL,92,761
DIV,660,385
POW,991,529
DIV,93,368
MUL,861,31
DIV,307,130
DIV,450,341
SUM,983,978
MUL,264,840
POW,159,698
SUB,545,741
DIV,374,586
SUM,836,607
MUL,735,431
DIV,660,374
POW,364,215
POW,293,715
DIV,91,820
SUB,449,982
MUL,780,640
POW,786,278
SUB,909,719
MUL,400,231
DIV,873,336
SUB,591,938
MUL,925,640
SUM,345,611
MUL,907,158
POW,11,751
POW,155,805
DIV,872,314
SUM,415,326
SUM,752,903
MUL,952,413
SUM,500,692
SUM,792,19
MUL,307,308
DIV,355,100
DIV,567,903
MUL,284,874
DIV,327,226
POW,602,51
SUM,385,220
SUB,698,693
POW,871,224
POW,869,351
SUM,534,154
MUL,690,535
POW,202,710
SUB,671,670
DIV,344,265
SUB,675,740
DIV,17,19
DIV,789,986
SUB,890,5
SUM,503,829
SUB,249,567
SUB,543,994
SUM,926,52
SUM,942,822
DIV,360,847
SUB,439,916
SUM,782,608
MUL,523,438
MUL,421,374
POW,712,237
MUL,400,167
DIV,265,852
SUM,690,538
SUM,369,689
SUB,550,567
SUM,62,625
DIV,148,436
MUL,208,140
POW,726,121
MUL,455,905
MUL,493,315
MUL,600,80
SUB,431,182
SUB,325,207
MUL,936,804
POW,640,874
POW,109,554
SUB,454,807
SUM,662,871
DIV,766,347
DIV,230,868
POW,126,323
SUB,353,893
SUM,553,86
SUM,202,984
SUM,547,99
SUB,440,84
SUM,221,148
POW,233,334
DIV,290,439
SUM,258,529
SUB,874,104
SUM,555,119
SUB,572,204
SUB,600,630
POW,40,46
DIV,903,203
SUM,537,80
POW,160,589
POW,534,31
SUB,259,976
SUM,650,321
SUB,70,62
POW,558,533
SUB,853,660
SUB,916,803
MUL,186,300
MUL,23,376
SUM,776,291
DIV,228,214
SUB,502,148
DIV,655,383
SUM,415,148
SUB,967,13
MUL,9,260
SUM,868,848
DIV,720,875
SUB,788,729
POW,904,440
SUB,424,871
SUM,589,363
MUL,255,24
POW,802,451
DIV,298,140
POW,977,83
SUM,792,67
POW,836,776
POW,865,708
DIV,842,802
POW,695,335
POW,298,82
DIV,526,740
POW,469,340
MUL,584,588
SUB,137,175
SUB,486,689
MUL,48,843
DIV,578,132
SUB,628,353
DIV,243,886
SUB,867,956
SUM,71,389
POW,299,960
MUL,364,788
POW,415,941
SUM,342,128
POW,480,748
DIV,879,479
POW,991,163
MUL,194,646
POW,528,13
POW,121,621
DIV,345,558
POW,562,864
POW,797,317
DIV,18,268
SUB,514,655
SUM,91,717
POW,708,126
SUM,708,809
MUL,809,720
MUL,971,183
DIV,399,301
SUB,152,712
MUL,526,297
SUB,521,329
MUL,718,861
POW,726,236
SUM,615,329
MUL,27,280
SUB,886,865
SUB,482,689
SUM,987,623
POW,382,355
POW,367,717
POW,133,238
SUM,809,767
SUM,675,518
POW,863,992
SUB,803,220
MUL,675,629
POW,440,230
DIV,262,864
SUM,675,371
SUM,696,904
DIV,621,814
DIV,699,397
SUM,933,806
SUM,779,912
MUL,922,13
SUM,539,512
SUM,135,900
SUB,552,993
DIV,11,193
POW,851,115
MUL,225,397
MUL,399,523
DIV,374,537
SUM,794,547
POW,482,294
SUM,888,797
DIV,363,408
MUL,23,117
POW,157,905
SUM,329,433
DIV,76,454
SUB,542,935
SUB,562,163
POW,727,768
DIV,770,725
SUB,86,521
MUL,181,177
SUM,332,717
MUL,545,589
POW,926,55
POW,527,795
MUL,100,170
POW,317,589
POW,48,554
POW,812,220
DIV,562,157
MUL,209,323
DIV,189,426
SUM,133,495
SUB,493,276
MUL,90,778
SUB,846,896
SUB,634,547
MUL,868,357
SUB,345,362
POW,908,853
SUM,355,325
DIV,968,923
POW,306,197
POW,148,26
MUL,889,555
SUB,299,428
MUL,239,4
SUM,443,108
SUM,261,766
DIV,836,48
DIV,117,864
SUM,767,469
SUM,941,177
DIV,687,62
MUL,170,222
SUB,695,607
SUM,90,172
POW,607,419
SUM,68,639
POW,985,988
SUM,734,853
POW,33,937
SUM,888,737
DIV,578,792
MUL,61,386
SUM,459,471
SUB,950,316
POW,848,550
SUB,293,521
MUL,926,898
DIV,66,73
POW,920,876
SUB,986,738
POW,798,875
SUM,811,907
POW,71,791
SUB,917,182
SUM,917,571
DIV,229,126
MUL,214,309
SUM,922,167
DIV,952,35
POW,842,163
POW,204,601
SUB,472,47
POW,937,82
SUB,576,162
MUL,570,287
SUB,317,652
POW,428,3
POW,433,193
DIV,944,438
POW,83,815
SUB,340,201
MUL,788,422
SUM,804,393
MUL,741,237
SUB,727,977
DIV,846,58
DIV,151,921
POW,976,633
SUM,626,614
SUM,327,432
MUL,523,107
DIV,337,981
MUL,404,272
SUM,555,703
MUL,128,904
MUL,166,899
SUM,186,139
MUL,232,294
POW,350,330
DIV,971,648
SUM,626,464
DIV,665,207
POW,887,166
POW,764,771
MUL,82,663
DIV,956,965
SUM,202,738
POW,51,319
SUB,183,129
DIV,803,412
SUB,751,776
SUM,527,497
SUM,631,612
MUL,228,91
MUL,239,661
SUM,963,330
MUL,384,533
SUB,941,78
SUM,465,342
SUM,390,84
SUB,739,833
MUL,742,136
SUM,789,924
MUL,632,892
SUM,462,53
SUM,556,43
SUM,201,231
POW,392,862
SUB,12,539
MUL,325,1
POW,218,140
DIV,946,378
MUL,664,317
SUB,686,120
POW,914,298
DIV,719,785
SUM,228,605
DIV,968,257
SUB,484,812
SUB,496,976
DIV,642,976
POW,621,944
SUB,224,763
POW,398,617
SUM,108,233
MUL,626,462
SUB,445,984
MUL,270,292
SUB,8,988
MUL,109,740
SUB,681,380
SUM,403,589
DIV,521,184
MUL,62,446
DIV,951,379
SUB,815,92
SUM,189,943
POW,585,208
MUL,508,781
POW,846,201
POW,435,509
DIV,713,105
DIV,682,788
POW,36,949
SUB,12,228
DIV,958,409
SUB,832,7
MUL,551,233
POW,147,84
DIV,721,543
DIV,246,978
MUL,388,480
MUL,824,672
SUB,398,303
POW,429,47
SUB,808,405
SUB,60,439
POW,962,950
SUB,865,552
DIV,485,757
SUB,83,958
SUB,910,910
SUB,118,524
SUB,828,174
SUM,119,846
MUL,420,359
DIV,972,623
DIV,100,270
SUM,72,875
SUB,871,624
MUL,385,850
MUL,955,828
SUB,242,749
SUM,69,733
SUB,708,882
POW,124,377
POW,683,837
SUM,469,327
SUB,11,738
MUL,82,135
POW,604,580
MUL,860,692
DIV,92,10
DIV,283,945
MUL,709,913
SUM,904,459
SUM,184,314
SUM,773,95
POW,766,992
SUM,627,805
SUB,329,733
SUM,237,833
SUB,811,129
DIV,640,632
DIV,169,524
POW,587,147
SUB,432,589
DIV,729,49
MUL,574,859
SUM,545,834
SUB,217,595
DIV,655,132
MUL,946,609
MUL,236,838
DIV,183,849
SUM,509,296
MUL,369,31
SUM,722,840
SUM,717,413
DIV,623,591
POW,313,128
MUL,216,981
MUL,342,346
MUL,978,472
DIV,419,764
SUB,356,389
POW,52,999
POW,372,799
MUL,303,214
SUM,103,380
POW,544,333
SUM,534,425
DIV,567,931
SUM,755,168
POW,130,2
MUL,317,240
POW,59,471
DIV,52,768
SUB,315,718
MUL,105,280
SUB,428,685
SUM,673,2
SUB,416,87
POW,190,619
POW,11,219
DIV,929,332
MUL,643,784
SUM,423,474
POW,708,559
SUB,905,440
SUB,282,974
POW,422,992
SUM,591,800
POW,476,504
DIV,368,38
SUM,17,245
SUB,326,82
MUL,287,687
DIV,345,199
SUB,384,259
DIV,518,746
POW,793,906
SUB,784,811
SUM,868,467
DIV,986,172
DIV,243,992
SUM,251,397
SUM,199,496
DIV,456,200
DIV,329,532
MUL,662,260
SUB,750,687
SUB,357,244
SUB,349,615
SUM,858,235
DIV,474,860
SUB,268,961
SUM,880,417
SUB,294,630
SUB,607,993
DIV,288,650
SUM,370,959
SUB,860,461
POW,261,424
POW,767,582
SUB,184,26
SUM,967,292
SUM,801,987
POW,31,892
POW,428,257
DIV,7,511
DIV,486,518
DIV,273,923
SUM,398,468
MUL,70,546
POW,990,945
POW,800,137
MUL,540,858
SUB,440,895
POW,790,92
MUL,780,166
MUL,892,938
DIV,52,474
DIV,767,577
SUB,285,717
SUM,45,480
MUL,880,440
DIV,936,442
SUB,485,227
POW,649,465
POW,696,206
DIV,110,938
POW,700,620
SUB,875,109
MUL,183,827
SUM,134,130
SUM,902,935
SUM,193,543
POW,678,439
SUM,649,30
SUM,438,671
SUM,81,868
SUM,55,89
SUM,437,821
SUM,194,23
SUM,213,114
DIV,602,111
SUB,650,691
DIV,2,704
MUL,406,834
SUB,17,985
MUL,470,888
SUM,252,544
DIV,640,35
POW,266,938
DIV,285,617
POW,686,83
MUL,543,646
SUB,304,506
POW,562,117
SUB,637,568
MUL,180,284
SUB,227,263
MUL,506,212
DIV,106,794
SUM,776,358
POW,734,619
MUL,708,816
SUM,186,357
SUB,341,296
POW,658,264
MUL,763,641
POW,959,210
DIV,765,229
POW,984,237
POW,542,252
DIV,649,574
SUM,78,703
SUB,330,166
SUB,795,619
SUM,841,195
MUL,69,585
SUB,637,463
SUB,428,145
POW,494,280
MUL,731,334
POW,900,165
MUL,341,963
SUB,279,430
MUL,924,460
DIV,262,385
MUL,733,102
SUB,751,882
DIV,691,775
POW,579,645
SUB,176,269
MUL,507,911
MUL,526,529
DIV,616,196
SUM,82,119
MUL,308,816
SUM,392,697
MUL,948,697
SUM,6,819
MUL,86,303
SUM,980,391
MUL,490,145
DIV,833,951
POW,849,982
SUB,987,572
SUM,172,357
DIV,191,410
DIV,684,456
MUL,901,64
DIV,425,952
SUB,294,817
SUB,239,68
DIV,639,532
POW,87,686
SUB,185,251
SUB,515,725
POW,307,486
POW,710,439
SUM,66,896
POW,83,479
DIV,723,672
MUL,904,34
DIV,627,265
POW,333,177
SUB,367,382
SUB,161,653
SUB,593,673
SUM,572,75
MUL,980,942
DIV,498,364
SUB,469,738
SUB,722,796
SUB,401,797
SUM,351,541
DIV,495,793
MUL,391,975
DIV,65,114
SUB,853,252
DIV,37,764
DIV,311,119
POW,40,597
MUL,468,256
MUL,944,203
DIV,897,397
MUL,692,509
SUM,142,682
DIV,116,5
DIV,497,756
MUL,638,127
MUL,772,83
POW,640,13
SUM,902,509
DIV,450,616
MUL,883,303
SUM,356,536
MUL,904,120
DIV,70,965
MUL,599,752
DIV,599,322
MUL,76,749
MUL,205,319
MUL,163,374
POW,283,757
SUM,749,485
SUM,994,913
SUM,237,285
DIV,449,436
SUM,702,436
MUL,474,339
SUB,566,731
MUL,549,363
SUM,408,558
POW,506,765
SUB,374,854
MUL,711,35
SUM,921,274
SUB,316,792
MUL,386,509
SUB,2,705
POW,333,18
SUM,344,213
SUM,323,648
POW,149,89
POW,845,291
POW,758,860
DIV,753,40
POW,122,689
DIV,755,918
MUL,918,56
SUM,111,529
POW,296,839
POW,712,492
POW,462,202
POW,389,120
SUB,376,508
MUL,988,601
MUL,513,381
MUL,885,158
POW,439,415
DIV,937,562
POW,630,63
POW,127,583
MUL,462,691
SUM,921,595
POW,691,561
SUB,599,993
POW,835,60
MUL,493,467
POW,803,184
SUB,274,300
SUB,739,536
SUB,924,362
SUM,112,821
MUL,629,188
SUB,186,37
SUB,443,277
POW,295,727
POW,355,596
SUM,151,556
SUB,791,184
SUB,694,332
DIV,197,771
SUM,830,696
POW,329,78
SUM,717,968
SUB,894,45
POW,85,212
DIV,161,21
DIV,585,317
SUM,173,435
POW,499,243
SUB,126,994
MUL,868,696
POW,629,402
MUL,550,92
SUB,79,289
SUB,791,712
SUB,889,486
POW,801,709
SUB,282,168
MUL,723,765
SUM,389,142
DIV,211,391
POW,167,413
SUM,35,60
DIV,268,303
MUL,71,142
POW,828,95
SUB,707,159
SUB,8,25
SUM,459,711
POW,919,214
MUL,757,513
POW,26,418
POW,701,196
DIV,255,914
MUL,392,643
POW,480,454
SUM,14,186
POW,155,988
POW,907,967
POW,860,211
MUL,85,662
SUB,568,891
SUB,884,160
DIV,657,932
SUB,91,489
MUL,634,546
SUM,202,211
POW,705,82
MUL,684,228
POW,399,74
MUL,41,324
POW,604,101
POW,786,54
MUL,170,392
SUB,187,344
MUL,473,826
POW,54,332
MUL,593,908
