operation,operand_1,operand_2,Resultado
DIV,962,999,0.9629629629629629
SUM,959,893,1852
SUM,222,730,952
DIV,271,407,0.6658476658476659
SUM,722,573,1295
SUB,911,293,618
MUL,190,567,107730
POW,622,460,Muy Largo
SUM,927,499,1426
SUB,767,294,473
MUL,842,859,723278
DIV,683,711,0.960618846694796
SUM,525,939,1464
DIV,995,109,9.128440366972477
POW,443,156,Muy Largo
POW,573,270,Muy Largo
POW,412,469,Muy Largo
SUM,266,552,818
SUM,525,919,1444
DIV,80,638,0.12539184952978055
DIV,10,747,0.013386880856760375
DIV,209,120,1.7416666666666667
SUB,365,97,268
SUB,64,907,-843
SUM,802,562,1364
POW,510,334,Muy Largo
MUL,540,12,6480
SUB,313,888,-575
DIV,899,790,1.1379746835443039
SUB,652,801,-149
MUL,838,1,838
POW,86,527,Muy Largo
POW,999,556,Muy Largo
DIV,580,917,0.6324972737186477
MUL,599,941,563659
DIV,469,632,0.7420886075949367
POW,772,498,Muy Largo
POW,991,874,Muy Largo
POW,256,609,Muy Largo
POW,436,573,Muy Largo
POW,833,164,Muy Largo
DIV,963,80,12.0375
POW,105,355,Muy Largo
POW,566,638,Muy Largo
DIV,976,271,3.6014760147601477
SUM,230,858,1088
MUL,631,756,477036
MUL,306,801,245106
SUM,561,151,712
DIV,656,656,1.0
SUM,537,510,1047
SUB,528,535,-7
DIV,179,428,0.4182242990654206
SUM,702,401,1103
SUB,108,613,-505
SUM,296,903,1199
SUB,522,558,-36
MUL,15,37,555
SUB,67,272,-205
POW,207,390,Muy Largo
POW,861,708,Muy Largo
POW,455,262,Muy Largo
POW,941,729,Muy Largo
POW,175,103,Muy Largo
MUL,116,382,44312
SUM,69,373,442
POW,803,87,Muy Largo
MUL,616,474,291984
DIV,911,231,3.9437229437229435
POW,929,897,Muy Largo
MUL,264,757,199848
SUB,944,740,204
SUB,242,433,-191
SUM,146,132,278
DIV,543,121,4.487603305785124
SUM,941,787,1728
SUB,801,390,411
DIV,615,704,0.8735795454545454
POW,511,256,Muy Largo
DIV,650,831,0.7821901323706378
POW,606,56,Muy Largo
POW,403,327,Muy Largo
DIV,586,324,1.808641975308642
SUB,831,163,668
DIV,840,812,1.0344827586206897
SUB,453,44,409
SUM,372,842,1214
POW,60,933,Muy Largo
DIV,852,77,11.064935064935066
DIV,358,822,0.43552311435523117
MUL,722,185,133570
SUM,392,455,847
SUM,669,277,946
SUM,204,145,349
SUM,635,619,1254
DIV,869,607,1.4316309719934102
SUB,267,885,-618
SUB,290,798,-508
POW,480,538,Muy Largo
POW,585,835,Muy Largo
POW,29,719,Muy Largo
DIV,28,809,0.034610630407911
SUB,40,418,-378
MUL,253,414,104742
POW,634,812,Muy Largo
SUM,50,701,751
SUB,59,687,-628
SUB,383,222,161
POW,853,404,Muy Largo
DIV,941,33,28.515151515151516
SUB,50,12,38
SUM,48,306,354
MUL,857,464,397648
SUB,277,453,-176
MUL,880,177,155760
POW,206,393,Muy Largo
MUL,191,432,82512
POW,589,6,Muy Largo
MUL,611,812,496132
SUB,902,725,177
SUM,947,936,1883
SUB,897,888,9
SUB,991,670,321
SUB,245,484,-239
POW,800,24,Muy Largo
SUM,273,243,516
SUM,1000,806,1806
POW,160,185,Muy Largo
SUB,153,332,-179
POW,125,730,Muy Largo
SUM,545,31,576
SUM,346,910,1256
POW,105,953,Muy Largo
MUL,50,566,28300
MUL,114,975,111150
SUB,9,183,-174
POW,85,601,Muy Largo
DIV,900,31,29.032258064516128
DIV,87,763,0.11402359108781127
SUM,221,947,1168
SUB,939,104,835
DIV,562,108,5.203703703703703
SUB,766,894,-128
DIV,573,893,0.6416573348264277
MUL,299,733,219167
SUM,589,497,1086
POW,367,862,Muy Largo
SUB,374,329,45
POW,972,946,Muy Largo
SUM,900,461,1361
SUM,661,257,918
SUB,518,102,416
DIV,33,102,0.3235294117647059
MUL,106,961,101866
SUM,560,912,1472
MUL,509,896,456064
MUL,672,794,533568
SUM,929,431,1360
SUM,72,282,354
POW,429,692,Muy Largo
DIV,986,291,3.388316151202749
MUL,783,337,263871
POW,831,253,Muy Largo
SUB,211,437,-226
DIV,737,418,1.763157894736842
MUL,751,431,323681
DIV,439,738,0.5948509485094851
DIV,209,520,0.40192307692307694
POW,693,143,Muy Largo
SUM,94,398,492
POW,815,843,Muy Largo
SUB,750,397,353
SUB,817,107,710
DIV,46,877,0.052451539338654506
POW,893,45,Muy Largo
DIV,336,522,0.6436781609195402
SUM,500,644,1144
MUL,140,717,100380
MUL,393,757,297501
SUM,15,757,772
POW,25,523,Muy Largo
POW,370,953,Muy Largo
POW,845,999,Muy Largo
DIV,409,827,0.49455864570737607
MUL,349,355,123895
MUL,839,140,117460
DIV,84,761,0.11038107752956636
SUM,515,856,1371
POW,231,917,Muy Largo
MUL,439,282,123798
DIV,40,394,0.10152284263959391
MUL,248,467,115816
SUB,477,829,-352
SUM,282,645,927
SUM,45,722,767
POW,944,60,Muy Largo
MUL,533,288,153504
SUB,431,777,-346
SUM,263,736,999
SUB,8,723,-715
DIV,33,760,0.04342105263157895
POW,938,342,Muy Largo
DIV,209,702,0.29772079772079774
POW,389,339,Muy Largo
MUL,547,793,433771
POW,576,873,Muy Largo
SUB,753,675,78
MUL,209,317,66253
POW,113,751,Muy Largo
DIV,110,398,0.27638190954773867
SUM,930,746,1676
SUB,920,468,452
SUM,725,811,1536
SUM,528,23,551
SUM,405,479,884
MUL,92,761,70012
DIV,660,385,1.7142857142857142
POW,991,529,Muy Largo
DIV,93,368,0.25271739130434784
MUL,861,31,26691
DIV,307,130,2.3615384615384616
DIV,450,341,1.3196480938416422
SUM,983,978,1961
MUL,264,840,221760
POW,159,698,Muy Largo
SUB,545,741,-196
DIV,374,586,0.6382252559726962
SUM,836,607,1443
MUL,735,431,316785
DIV,660,374,1.7647058823529411
POW,364,215,Muy Largo
POW,293,715,Muy Largo
DIV,91,820,0.11097560975609756
SUB,449,982,-533
MUL,780,640,499200
POW,786,278,Muy Largo
SUB,909,719,190
MUL,400,231,92400
DIV,873,336,2.5982142857142856
SUB,591,938,-347
MUL,925,640,592000
SUM,345,611,956
MUL,907,158,143306
POW,11,751,Muy Largo
POW,155,805,Muy Largo
DIV,872,314,2.7770700636942673
SUM,415,326,741
SUM,752,903,1655
MUL,952,413,393176
SUM,500,692,1192
SUM,792,19,811
MUL,307,308,94556
DIV,355,100,3.55
DIV,567,903,0.627906976744186
MUL,284,874,248216
DIV,327,226,1.4469026548672566
POW,602,51,Muy Largo
SUM,385,220,605
SUB,698,693,5
POW,871,224,Muy Largo
POW,869,351,Muy Largo
SUM,534,154,688
MUL,690,535,369150
POW,202,710,Muy Largo
SUB,671,670,1
DIV,344,265,1.2981132075471697
SUB,675,740,-65
DIV,17,19,0.8947368421052632
DIV,789,986,0.8002028397565923
SUB,890,5,885
SUM,503,829,1332
SUB,249,567,-318
SUB,543,994,-451
SUM,926,52,978
SUM,942,822,1764
DIV,360,847,0.42502951593860683
SUB,439,916,-477
SUM,782,608,1390
MUL,523,438,229074
MUL,421,374,157454
POW,712,237,Muy Largo
MUL,400,167,66800
DIV,265,852,0.31103286384976525
SUM,690,538,1228
SUM,369,689,1058
SUB,550,567,-17
SUM,62,625,687
DIV,148,436,0.3394495412844037
MUL,208,140,29120
POW,726,121,Muy Largo
MUL,455,905,411775
MUL,493,315,155295
MUL,600,80,48000
SUB,431,182,249
SUB,325,207,118
MUL,936,804,752544
POW,640,874,Muy Largo
POW,109,554,Muy Largo
SUB,454,807,-353
SUM,662,871,1533
DIV,766,347,2.207492795389049
DIV,230,868,0.26497695852534564
POW,126,323,Muy Largo
SUB,353,893,-540
SUM,553,86,639
SUM,202,984,1186
SUM,547,99,646
SUB,440,84,356
SUM,221,148,369
POW,233,334,Muy Largo
DIV,290,439,0.6605922551252847
SUM,258,529,787
SUB,874,104,770
SUM,555,119,674
SUB,572,204,368
SUB,600,630,-30
POW,40,46,Muy Largo
DIV,903,203,4.448275862068965
SUM,537,80,617
POW,160,589,Muy Largo
POW,534,31,Muy Largo
SUB,259,976,-717
SUM,650,321,971
SUB,70,62,8
POW,558,533,Muy Largo
SUB,853,660,193
SUB,916,803,113
MUL,186,300,55800
MUL,23,376,8648
SUM,776,291,1067
DIV,228,214,1.0654205607476634
SUB,502,148,354
DIV,655,383,1.7101827676240209
SUM,415,148,563
SUB,967,13,954
MUL,9,260,2340
SUM,868,848,1716
DIV,720,875,0.8228571428571428
SUB,788,729,59
POW,904,440,Muy Largo
SUB,424,871,-447
SUM,589,363,952
MUL,255,24,6120
POW,802,451,Muy Largo
DIV,298,140,2.1285714285714286
POW,977,83,Muy Largo
SUM,792,67,859
POW,836,776,Muy Largo
POW,865,708,Muy Largo
DIV,842,802,1.0498753117206983
POW,695,335,Muy Largo
POW,298,82,Muy Largo
DIV,526,740,0.7108108108108108
POW,469,340,Muy Largo
MUL,584,588,343392
SUB,137,175,-38
SUB,486,689,-203
MUL,48,843,40464
DIV,578,132,4.378787878787879
SUB,628,353,275
DIV,243,886,0.2742663656884876
SUB,867,956,-89
SUM,71,389,460
POW,299,960,Muy Largo
MUL,364,788,286832
POW,415,941,Muy Largo
SUM,342,128,470
POW,480,748,Muy Largo
DIV,879,479,1.8350730688935282
POW,991,163,Muy Largo
MUL,194,646,125324
POW,528,13,Muy Largo
POW,121,621,Muy Largo
DIV,345,558,0.6182795698924731
POW,562,864,Muy Largo
POW,797,317,Muy Largo
DIV,18,268,0.06716417910447761
SUB,514,655,-141
SUM,91,717,808
POW,708,126,Muy Largo
SUM,708,809,1517
MUL,809,720,582480
MUL,971,183,177693
DIV,399,301,1.3255813953488371
SUB,152,712,-560
MUL,526,297,156222
SUB,521,329,192
MUL,718,861,618198
POW,726,236,Muy Largo
SUM,615,329,944
MUL,27,280,7560
SUB,886,865,21
SUB,482,689,-207
SUM,987,623,1610
POW,382,355,Muy Largo
POW,367,717,Muy Largo
POW,133,238,Muy Largo
SUM,809,767,1576
SUM,675,518,1193
POW,863,992,Muy Largo
SUB,803,220,583
MUL,675,629,424575
POW,440,230,Muy Largo
DIV,262,864,0.30324074074074076
SUM,675,371,1046
SUM,696,904,1600
DIV,621,814,0.7628992628992629
DIV,699,397,1.7607052896725441
SUM,933,806,1739
SUM,779,912,1691
MUL,922,13,11986
SUM,539,512,1051
SUM,135,900,1035
SUB,552,993,-441
DIV,11,193,0.05699481865284974
POW,851,115,Muy Largo
MUL,225,397,89325
MUL,399,523,208677
DIV,374,537,0.6964618249534451
SUM,794,547,1341
POW,482,294,Muy Largo
SUM,888,797,1685
DIV,363,408,0.8897058823529411
MUL,23,117,2691
POW,157,905,Muy Largo
SUM,329,433,762
DIV,76,454,0.16740088105726872
SUB,542,935,-393
SUB,562,163,399
POW,727,768,Muy Largo
DIV,770,725,1.0620689655172413
SUB,86,521,-435
MUL,181,177,32037
SUM,332,717,1049
MUL,545,589,321005
POW,926,55,Muy Largo
POW,527,795,Muy Largo
MUL,100,170,17000
POW,317,589,Muy Largo
POW,48,554,Muy Largo
POW,812,220,Muy Largo
DIV,562,157,3.5796178343949046
MUL,209,323,67507
DIV,189,426,0.44366197183098594
SUM,133,495,628
SUB,493,276,217
MUL,90,778,70020
SUB,846,896,-50
SUB,634,547,87
MUL,868,357,309876
SUB,345,362,-17
POW,908,853,Muy Largo
SUM,355,325,680
DIV,968,923,1.0487540628385699
POW,306,197,Muy Largo
POW,148,26,Muy Largo
MUL,889,555,493395
SUB,299,428,-129
MUL,239,4,956
SUM,443,108,551
SUM,261,766,1027
DIV,836,48,17.416666666666668
DIV,117,864,0.13541666666666666
SUM,767,469,1236
SUM,941,177,1118
DIV,687,62,11.080645161290322
MUL,170,222,37740
SUB,695,607,88
SUM,90,172,262
POW,607,419,Muy Largo
SUM,68,639,707
POW,985,988,Muy Largo
SUM,734,853,1587
POW,33,937,Muy Largo
SUM,888,737,1625
DIV,578,792,0.7297979797979798
MUL,61,386,23546
SUM,459,471,930
SUB,950,316,634
POW,848,550,Muy Largo
SUB,293,521,-228
MUL,926,898,831548
DIV,66,73,0.9041095890410958
POW,920,876,Muy Largo
SUB,986,738,248
POW,798,875,Muy Largo
SUM,811,907,1718
POW,71,791,Muy Largo
SUB,917,182,735
SUM,917,571,1488
DIV,229,126,1.8174603174603174
MUL,214,309,66126
SUM,922,167,1089
DIV,952,35,27.2
POW,842,163,Muy Largo
POW,204,601,Muy Largo
SUB,472,47,425
POW,937,82,Muy Largo
SUB,576,162,414
MUL,570,287,163590
SUB,317,652,-335
POW,428,3,Muy Largo
POW,433,193,Muy Largo
DIV,944,438,2.1552511415525113
POW,83,815,Muy Largo
SUB,340,201,139
MUL,788,422,332536
SUM,804,393,1197
MUL,741,237,175617
SUB,727,977,-250
DIV,846,58,14.586206896551724
DIV,151,921,0.16395222584147665
POW,976,633,Muy Largo
SUM,626,614,1240
SUM,327,432,759
MUL,523,107,55961
DIV,337,981,0.3435270132517839
MUL,404,272,109888
SUM,555,703,1258
MUL,128,904,115712
MUL,166,899,149234
SUM,186,139,325
MUL,232,294,68208
POW,350,330,Muy Largo
DIV,971,648,1.498456790123457
SUM,626,464,1090
DIV,665,207,3.21256038647343
POW,887,166,Muy Largo
POW,764,771,Muy Largo
MUL,82,663,54366
DIV,956,965,0.9906735751295337
SUM,202,738,940
POW,51,319,Muy Largo
SUB,183,129,54
DIV,803,412,1.9490291262135921
SUB,751,776,-25
SUM,527,497,1024
SUM,631,612,1243
MUL,228,91,20748
MUL,239,661,157979
SUM,963,330,1293
MUL,384,533,204672
SUB,941,78,863
SUM,465,342,807
SUM,390,84,474
SUB,739,833,-94
MUL,742,136,100912
SUM,789,924,1713
MUL,632,892,563744
SUM,462,53,515
SUM,556,43,599
SUM,201,231,432
POW,392,862,Muy Largo
SUB,12,539,-527
MUL,325,1,325
POW,218,140,Muy Largo
DIV,946,378,2.502645502645503
MUL,664,317,210488
SUB,686,120,566
POW,914,298,Muy Largo
DIV,719,785,0.9159235668789809
SUM,228,605,833
DIV,968,257,3.7665369649805447
SUB,484,812,-328
SUB,496,976,-480
DIV,642,976,0.6577868852459017
POW,621,944,Muy Largo
SUB,224,763,-539
POW,398,617,Muy Largo
SUM,108,233,341
MUL,626,462,289212
SUB,445,984,-539
MUL,270,292,78840
SUB,8,988,-980
MUL,109,740,80660
SUB,681,380,301
SUM,403,589,992
DIV,521,184,2.8315217391304346
MUL,62,446,27652
DIV,951,379,2.509234828496042
SUB,815,92,723
SUM,189,943,1132
POW,585,208,Muy Largo
MUL,508,781,396748
POW,846,201,Muy Largo
POW,435,509,Muy Largo
DIV,713,105,6.79047619047619
DIV,682,788,0.8654822335025381
POW,36,949,Muy Largo
SUB,12,228,-216
DIV,958,409,2.3422982885085575
SUB,832,7,825
MUL,551,233,128383
POW,147,84,Muy Largo
DIV,721,543,1.3278084714548803
DIV,246,978,0.25153374233128833
MUL,388,480,186240
MUL,824,672,553728
SUB,398,303,95
POW,429,47,Muy Largo
SUB,808,405,403
SUB,60,439,-379
POW,962,950,Muy Largo
SUB,865,552,313
DIV,485,757,0.6406869220607662
SUB,83,958,-875
SUB,910,910,0
SUB,118,524,-406
SUB,828,174,654
SUM,119,846,965
MUL,420,359,150780
DIV,972,623,1.5601926163723916
DIV,100,270,0.37037037037037035
SUM,72,875,947
SUB,871,624,247
MUL,385,850,327250
MUL,955,828,790740
SUB,242,749,-507
SUM,69,733,802
SUB,708,882,-174
POW,124,377,Muy Largo
POW,683,837,Muy Largo
SUM,469,327,796
SUB,11,738,-727
MUL,82,135,11070
POW,604,580,Muy Largo
MUL,860,692,595120
DIV,92,10,9.2
DIV,283,945,0.29947089947089944
MUL,709,913,647317
SUM,904,459,1363
SUM,184,314,498
SUM,773,95,868
POW,766,992,Muy Largo
SUM,627,805,1432
SUB,329,733,-404
SUM,237,833,1070
SUB,811,129,682
DIV,640,632,1.0126582278481013
DIV,169,524,0.32251908396946566
POW,587,147,Muy Largo
SUB,432,589,-157
DIV,729,49,14.877551020408163
MUL,574,859,493066
SUM,545,834,1379
SUB,217,595,-378
DIV,655,132,4.962121212121212
MUL,946,609,576114
MUL,236,838,197768
DIV,183,849,0.21554770318021202
SUM,509,296,805
MUL,369,31,11439
SUM,722,840,1562
SUM,717,413,1130
DIV,623,591,1.0541455160744502
POW,313,128,Muy Largo
MUL,216,981,211896
MUL,342,346,118332
MUL,978,472,461616
DIV,419,764,0.5484293193717278
SUB,356,389,-33
POW,52,999,Muy Largo
POW,372,799,Muy Largo
MUL,303,214,64842
SUM,103,380,483
POW,544,333,Muy Largo
SUM,534,425,959
DIV,567,931,0.6090225563909775
SUM,755,168,923
POW,130,2,16900
MUL,317,240,76080
POW,59,471,Muy Largo
DIV,52,768,0.06770833333333333
SUB,315,718,-403
MUL,105,280,29400
SUB,428,685,-257
SUM,673,2,675
SUB,416,87,329
POW,190,619,Muy Largo
POW,11,219,Muy Largo
DIV,929,332,2.7981927710843375
MUL,643,784,504112
SUM,423,474,897
POW,708,559,Muy Largo
SUB,905,440,465
SUB,282,974,-692
POW,422,992,Muy Largo
SUM,591,800,1391
POW,476,504,Muy Largo
DIV,368,38,9.68421052631579
SUM,17,245,262
SUB,326,82,244
MUL,287,687,197169
DIV,345,199,1.7336683417085428
SUB,384,259,125
DIV,518,746,0.6943699731903485
POW,793,906,Muy Largo
SUB,784,811,-27
SUM,868,467,1335
DIV,986,172,5.732558139534884
DIV,243,992,0.24495967741935484
SUM,251,397,648
SUM,199,496,695
DIV,456,200,2.28
DIV,329,532,0.618421052631579
MUL,662,260,172120
SUB,750,687,63
SUB,357,244,113
SUB,349,615,-266
SUM,858,235,1093
DIV,474,860,0.5511627906976744
SUB,268,961,-693
SUM,880,417,1297
SUB,294,630,-336
SUB,607,993,-386
DIV,288,650,0.4430769230769231
SUM,370,959,1329
SUB,860,461,399
POW,261,424,Muy Largo
POW,767,582,Muy Largo
SUB,184,26,158
SUM,967,292,1259
SUM,801,987,1788
POW,31,892,Muy Largo
POW,428,257,Muy Largo
DIV,7,511,0.0136986301369863
DIV,486,518,0.9382239382239382
DIV,273,923,0.29577464788732394
SUM,398,468,866
MUL,70,546,38220
POW,990,945,Muy Largo
POW,800,137,Muy Largo
MUL,540,858,463320
SUB,440,895,-455
POW,790,92,Muy Largo
MUL,780,166,129480
MUL,892,938,836696
DIV,52,474,0.10970464135021098
DIV,767,577,1.3292894280762566
SUB,285,717,-432
SUM,45,480,525
MUL,880,440,387200
DIV,936,442,2.1176470588235294
SUB,485,227,258
POW,649,465,Muy Largo
POW,696,206,Muy Largo
DIV,110,938,0.11727078891257996
POW,700,620,Muy Largo
SUB,875,109,766
MUL,183,827,151341
SUM,134,130,264
SUM,902,935,1837
SUM,193,543,736
POW,678,439,Muy Largo
SUM,649,30,679
SUM,438,671,1109
SUM,81,868,949
SUM,55,89,144
SUM,437,821,1258
SUM,194,23,217
SUM,213,114,327
DIV,602,111,5.423423423423423
SUB,650,691,-41
DIV,2,704,0.002840909090909091
MUL,406,834,338604
SUB,17,985,-968
MUL,470,888,417360
SUM,252,544,796
DIV,640,35,18.285714285714285
POW,266,938,Muy Largo
DIV,285,617,0.4619124797406807
POW,686,83,Muy Largo
MUL,543,646,350778
SUB,304,506,-202
POW,562,117,Muy Largo
SUB,637,568,69
MUL,180,284,51120
SUB,227,263,-36
MUL,506,212,107272
DIV,106,794,0.13350125944584382
SUM,776,358,1134
POW,734,619,Muy Largo
MUL,708,816,577728
SUM,186,357,543
SUB,341,296,45
POW,658,264,Muy Largo
MUL,763,641,489083
POW,959,210,Muy Largo
DIV,765,229,3.3406113537117905
POW,984,237,Muy Largo
POW,542,252,Muy Largo
DIV,649,574,1.1306620209059233
SUM,78,703,781
SUB,330,166,164
SUB,795,619,176
SUM,841,195,1036
MUL,69,585,40365
SUB,637,463,174
SUB,428,145,283
POW,494,280,Muy Largo
MUL,731,334,244154
POW,900,165,Muy Largo
MUL,341,963,328383
SUB,279,430,-151
MUL,924,460,425040
DIV,262,385,0.6805194805194805
MUL,733,102,74766
SUB,751,882,-131
DIV,691,775,0.8916129032258064
POW,579,645,Muy Largo
SUB,176,269,-93
MUL,507,911,461877
MUL,526,529,278254
DIV,616,196,3.142857142857143
SUM,82,119,201
MUL,308,816,251328
SUM,392,697,1089
MUL,948,697,660756
SUM,6,819,825
MUL,86,303,26058
SUM,980,391,1371
MUL,490,145,71050
DIV,833,951,0.8759200841219769
POW,849,982,Muy Largo
SUB,987,572,415
SUM,172,357,529
DIV,191,410,0.4658536585365854
DIV,684,456,1.5
MUL,901,64,57664
DIV,425,952,0.44642857142857145
SUB,294,817,-523
SUB,239,68,171
DIV,639,532,1.2011278195488722
POW,87,686,Muy Largo
SUB,185,251,-66
SUB,515,725,-210
POW,307,486,Muy Largo
POW,710,439,Muy Largo
SUM,66,896,962
POW,83,479,Muy Largo
DIV,723,672,1.0758928571428572
MUL,904,34,30736
DIV,627,265,2.3660377358490567
POW,333,177,Muy Largo
SUB,367,382,-15
SUB,161,653,-492
SUB,593,673,-80
SUM,572,75,647
MUL,980,942,923160
DIV,498,364,1.3681318681318682
SUB,469,738,-269
SUB,722,796,-74
SUB,401,797,-396
SUM,351,541,892
DIV,495,793,0.6242118537200504
MUL,391,975,381225
DIV,65,114,0.5701754385964912
SUB,853,252,601
DIV,37,764,0.04842931937172775
DIV,311,119,2.6134453781512605
POW,40,597,Muy Largo
MUL,468,256,119808
MUL,944,203,191632
DIV,897,397,2.2594458438287153
MUL,692,509,352228
SUM,142,682,824
DIV,116,5,23.2
DIV,497,756,0.6574074074074074
MUL,638,127,81026
MUL,772,83,64076
POW,640,13,Muy Largo
SUM,902,509,1411
DIV,450,616,0.7305194805194806
MUL,883,303,267549
SUM,356,536,892
MUL,904,120,108480
DIV,70,965,0.07253886010362694
MUL,599,752,450448
DIV,599,322,1.860248447204969
MUL,76,749,56924
MUL,205,319,65395
MUL,163,374,60962
POW,283,757,Muy Largo
SUM,749,485,1234
SUM,994,913,1907
SUM,237,285,522
DIV,449,436,1.0298165137614679
SUM,702,436,1138
MUL,474,339,160686
SUB,566,731,-165
MUL,549,363,199287
SUM,408,558,966
POW,506,765,Muy Largo
SUB,374,854,-480
MUL,711,35,24885
SUM,921,274,1195
SUB,316,792,-476
MUL,386,509,196474
SUB,2,705,-703
POW,333,18,Muy Largo
SUM,344,213,557
SUM,323,648,971
POW,149,89,Muy Largo
POW,845,291,Muy Largo
POW,758,860,Muy Largo
DIV,753,40,18.825
POW,122,689,Muy Largo
DIV,755,918,0.8224400871459695
MUL,918,56,51408
SUM,111,529,640
POW,296,839,Muy Largo
POW,712,492,Muy Largo
POW,462,202,Muy Largo
POW,389,120,Muy Largo
SUB,376,508,-132
MUL,988,601,593788
MUL,513,381,195453
MUL,885,158,139830
POW,439,415,Muy Largo
DIV,937,562,1.6672597864768683
POW,630,63,Muy Largo
POW,127,583,Muy Largo
MUL,462,691,319242
SUM,921,595,1516
POW,691,561,Muy Largo
SUB,599,993,-394
POW,835,60,Muy Largo
MUL,493,467,230231
POW,803,184,Muy Largo
SUB,274,300,-26
SUB,739,536,203
SUB,924,362,562
SUM,112,821,933
MUL,629,188,118252
SUB,186,37,149
SUB,443,277,166
POW,295,727,Muy Largo
POW,355,596,Muy Largo
SUM,151,556,707
SUB,791,184,607
SUB,694,332,362
DIV,197,771,0.25551232166018156
SUM,830,696,1526
POW,329,78,Muy Largo
SUM,717,968,1685
SUB,894,45,849
POW,85,212,Muy Largo
DIV,161,21,7.666666666666667
DIV,585,317,1.8454258675078865
SUM,173,435,608
POW,499,243,Muy Largo
SUB,126,994,-868
MUL,868,696,604128
POW,629,402,Muy Largo
MUL,550,92,50600
SUB,79,289,-210
SUB,791,712,79
SUB,889,486,403
POW,801,709,Muy Largo
SUB,282,168,114
MUL,723,765,553095
SUM,389,142,531
DIV,211,391,0.5396419437340153
POW,167,413,Muy Largo
SUM,35,60,95
DIV,268,303,0.8844884488448845
MUL,71,142,10082
POW,828,95,Muy Largo
SUB,707,159,548
SUB,8,25,-17
SUM,459,711,1170
POW,919,214,Muy Largo
MUL,757,513,388341
POW,26,418,Muy Largo
POW,701,196,Muy Largo
DIV,255,914,0.2789934354485777
MUL,392,643,252056
POW,480,454,Muy Largo
SUM,14,186,200
POW,155,988,Muy Largo
POW,907,967,Muy Largo
POW,860,211,Muy Largo
MUL,85,662,56270
SUB,568,891,-323
SUB,884,160,724
DIV,657,932,0.7049356223175965
SUB,91,489,-398
MUL,634,546,346164
SUM,202,211,413
POW,705,82,Muy Largo
MUL,684,228,155952
POW,399,74,Muy Largo
MUL,41,324,13284
POW,604,101,Muy Largo
POW,786,54,Muy Largo
MUL,170,392,66640
SUB,187,344,-157
MUL,473,826,390698
POW,54,332,Muy Largo
MUL,593,908,538444
